item,order_qty1,order_qty2,order_qty3,period_id,qty
item1213,0.1952,,,201501,0.2447
item1213,0.0905,0,,201502,0.198
item1213,0.3918,0.1132,0,201503,0.5205
item1213,0.1174,0.0184,0,201504,0.1627
item1213,0.1132,0,0,201505,0.2037
item1213,0.0481,0,0,201506,0.0764
item1213,0.1047,0,0,201507,0.1301
item1213,0.0679,0,0,201508,0.0707
item1213,0.0283,0.0085,0,201509,0.2122
item1213,0.0552,0,0,201510,0.0764
item1213,0.553,0.0849,0,201511,0.8048
item1213,0.6167,0.0099,0,201512,0.6747
item1213,0.4583,0.4272,0,201601,0.5446
item1213,0.9943,0.8897,0.8883,201602,1
item1213,0.0651,0.0198,0.0198,201603,0.0707
item1213,0.1895,0.0438,0,201604,0.2461
item1213,0.1386,0.0057,0.0057,201605,0.2207
item1213,0.5163,0.0071,0,201606,0.7652
item1213,0.0976,0.0028,0,201607,0.2744
item1213,0.4866,0.0877,0,201608,0.6139
item1213,0.4668,0.3211,0.0057,201609,0.7185
item1213,0.2956,0.0693,0.0453,201610,0.3635
item1213,0.1117,0.0495,0.0226,201611,0.1372
item1213,0.1033,0.0354,0.0354,201612,0.1683
item1213,0.0608,0,0,201701,0.1103
item1213,0.0919,0.0226,0.0057,201702,0.0976
item1213,0.0226,0.0028,0,201703,0.0354
item1213,0.0226,0,0,201704,0.3352
item1213,0.0325,0.0141,0,201705,0.1231
item1213,0.0962,0.0255,0.0255,201706,0.1528
item1213,0.058,0,0,201707,0.1047
item1213,0.0523,0,0,201708,0.0693
item1213,0.1146,0.041,0,201709,0.1909
item1213,0.0948,0,0,201710,0.1895
item1213,0.3805,0.0226,0.0113,201711,0.5276
item1213,0.2744,0,0,201712,0.4979
item1213,0.1174,0.0226,0.0113,201801,0.3296
item1213,0.0693,0.0057,0,201802,0.0919
item1213,0.314,0.0198,0,201803,0.4979
item1213,0.0396,0.0028,0,201804,0.0806
item1213,0.0566,0,0,201805,0.1386
item1213,0.239,0.0566,0,201806,0.3607
item1213,0.2207,0,0,201807,0.2405
item1213,0.4583,0.0608,0,201808,0.4851
item1213,0.0523,0.0057,0,201809,0.0948
item1213,0.1386,0.0523,0,201810,0.174
item1213,0.1174,0.0156,0,201811,0.1174
item1213,,0,0,201812,
item1213,,,0,201901,
item1214,0.0117,,,201501,0.0222
item1214,0.0158,0,,201502,0.0216
item1214,0.1406,0,0,201503,0.1406
item1214,0.0385,0,0,201504,0.0572
item1214,0.0292,0.0012,0,201505,0.0467
item1214,0.0239,0,0,201506,0.0292
item1214,0.007,0,0,201507,0.0163
item1214,0.056,0,0,201508,0.0572
item1214,0.0303,0.0047,0,201509,0.0449
item1214,0.0543,0.0023,0,201510,0.0595
item1214,0.0385,0.0012,0,201511,0.0426
item1214,0.1056,0.0064,0.0064,201512,0.2246
item1214,0.14,0,0,201601,0.1447
item1214,0.0438,0,0,201602,0.0572
item1214,0.0607,0,0,201603,0.3221
item1214,0.1721,0,0,201604,0.1762
item1214,0.0963,0,0,201605,0.1622
item1214,0.0613,0.0105,0,201606,0.1179
item1214,0.1313,0.0443,0,201607,0.1651
item1214,0.0088,0,0,201608,0.028
item1214,0.0438,0.014,0,201609,0.1867
item1214,0.3127,0.0012,0.0012,201610,0.3366
item1214,0.1062,0,0,201611,0.1459
item1214,0.1744,0,0,201612,0.3716
item1214,0.2789,0,0,201701,0.283
item1214,0.063,0.0088,0,201702,0.0893
item1214,0.0718,0.0047,0,201703,0.098
item1214,0.0012,0,0,201704,0.0158
item1214,0.0933,0,0,201705,0.14
item1214,0.4708,0.0578,0.007,201706,0.612
item1214,0.168,0,0,201707,0.3069
item1214,0.0035,0,0,201708,0.0222
item1214,0.1978,0,0,201709,0.2427
item1214,0.402,0,0,201710,0.4702
item1214,0.2567,0.2316,0,201711,0.3641
item1214,0.1995,0,0,201712,0.3162
item1214,0.1844,0.0088,0,201801,0.2713
item1214,0.255,0,0,201802,0.3448
item1214,0.3746,0.0473,0.0152,201803,1
item1214,0.1295,0.0315,0.0315,201804,0.2036
item1214,0.0782,0.0502,0.0391,201805,0.5508
item1214,0.2118,0,0,201806,0.3781
item1214,0.2725,0,0,201807,0.3944
item1214,0.255,0.0788,0,201808,0.2935
item1214,0.0268,0,0,201809,0.1144
item1214,0.133,0,0,201810,0.2328
item1214,0.1779,0.0128,0,201811,0.1779
item1214,,0,0,201812,
item1214,,,0,201901,
item1215,0,,,201501,0.0714
item1215,0,0,,201502,0
item1215,0,0,0,201503,0
item1215,0,0,0,201504,0.1429
item1215,0,0,0,201505,0
item1215,0.0714,0,0,201506,0.1429
item1215,0,0,0,201507,0
item1215,0,0,0,201508,0.2143
item1215,0,0,0,201509,0.1429
item1215,0,0,0,201510,0
item1215,0.2143,0,0,201511,0.2143
item1215,0.0714,0.0714,0,201512,0.1429
item1215,0,0,0,201601,0.0714
item1215,0,0,0,201602,0.2143
item1215,0,0,0,201603,0
item1215,0.3571,0.2857,0.2857,201604,0.5714
item1215,0,0,0,201605,0.1429
item1215,0.1429,0,0,201606,0.3571
item1215,0.2143,0,0,201607,0.3571
item1215,0.1429,0.0714,0,201608,0.3571
item1215,0.1429,0,0,201609,0.3571
item1215,0,0,0,201610,0.2143
item1215,0.3571,0,0,201611,0.5714
item1215,0,0,0,201612,0.2857
item1215,0.2857,0.0714,0,201701,0.4286
item1215,0.1429,0,0,201702,0.1429
item1215,0.1429,0,0,201703,0.2857
item1215,0.1429,0,0,201704,0.5
item1215,0.2143,0.0714,0,201705,0.5714
item1215,0.2857,0,0,201706,0.4286
item1215,0.2857,0,0,201707,0.4286
item1215,0.2857,0,0,201708,0.4286
item1215,0.5714,0,0,201709,1
item1215,0.5714,0,0,201710,0.8571
item1215,0.5714,0.0714,0,201711,0.8571
item1215,0.6429,0,0,201712,0.6429
item1215,0.5714,0.1429,0,201801,0.6429
item1215,0.2857,0.0714,0,201802,0.6429
item1215,0.2143,0.2143,0.1429,201803,0.5
item1215,0.2143,0,0,201804,0.2857
item1215,0.5,0.0714,0.0714,201805,0.6429
item1215,0,0,0,201806,0.1429
item1215,0.2857,0,0,201807,0.3571
item1215,0,0,0,201808,0
item1215,0.0714,0,0,201809,0.0714
item1215,0.1429,0,0,201810,0.1429
item1215,0.1429,0.1429,0,201811,0.1429
item1215,,0,0,201812,
item1215,,,0,201901,
item1216,0.396,,,201501,0.5099
item1216,0.1089,0.0149,,201502,0.1287
item1216,0.2525,0.0792,0.0446,201503,0.2871
item1216,0.1535,0.0644,0.0347,201504,0.2277
item1216,0.5594,0.099,0,201505,0.5693
item1216,0.5891,0.0842,0.0743,201506,0.8911
item1216,0.1832,0.0099,0.0099,201507,0.3317
item1216,0.0545,0,0,201508,0.1089
item1216,0.2525,0.005,0.005,201509,0.2871
item1216,0.0941,0.0396,0,201510,0.1485
item1216,0.1386,0.0594,0,201511,0.1881
item1216,0.2327,0.0099,0.005,201512,0.5545
item1216,0.1287,0.0149,0,201601,0.1832
item1216,0.0792,0.0099,0,201602,0.104
item1216,0.5198,0.0446,0,201603,0.5891
item1216,0.5743,0.2327,0,201604,0.5891
item1216,0.1485,0.0198,0.0198,201605,0.203
item1216,0.2871,0.1584,0.1485,201606,0.4109
item1216,0.0545,0,0,201607,0.0792
item1216,0.6782,0.6287,0.0099,201608,0.6782
item1216,0.9455,0.8267,0.6881,201609,1
item1216,0.0941,0,0,201610,0.099
item1216,0.0446,0.0396,0,201611,0.0792
item1216,0.3911,0.005,0,201612,0.4307
item1216,0.1089,0.005,0,201701,0.1139
item1216,0.203,0.0644,0.0099,201702,0.2376
item1216,0.0347,0,0,201703,0.0891
item1216,0.0396,0,0,201704,0.0644
item1216,0.1832,0,0,201705,0.2129
item1216,0.1089,0.005,0,201706,0.1782
item1216,0.0099,0,0,201707,0.0495
item1216,0.0396,0,0,201708,0.0743
item1216,0.0594,0,0,201709,0.3515
item1216,0.7525,0.005,0,201710,0.8119
item1216,0.1238,0.0545,0,201711,0.2673
item1216,0.1634,0.0099,0,201712,0.2822
item1216,0.2178,0.0693,0,201801,0.2376
item1216,0.0297,0.0099,0.005,201802,0.0743
item1216,0.0446,0.0149,0,201803,0.1535
item1216,0.0644,0.0099,0,201804,0.0842
item1216,0.0941,0.0198,0,201805,0.2079
item1216,0.1139,0.0149,0,201806,0.2921
item1216,0.0297,0,0,201807,0.0545
item1216,0.005,0,0,201808,0.0198
item1216,0.0198,0.0099,0,201809,0.0644
item1216,0.0941,0,0,201810,0.099
item1216,0.5297,0.0099,0,201811,0.5297
item1216,,0,0,201812,
item1216,,,0,201901,
item1217,0,,,201506,0
item1217,0,0,,201507,0
item1217,0.0564,0,0,201508,0.0613
item1217,0,0,0,201509,0
item1217,0,0,0,201510,0.0637
item1217,0.1176,0,0,201511,0.1176
item1217,0,0,0,201512,0
item1217,0.0392,0,0,201601,0.0392
item1217,0,0,0,201602,0.1422
item1217,0.1446,0,0,201603,0.2206
item1217,0.0074,0,0,201604,0.0074
item1217,0.1961,0.174,0.0196,201605,0.2892
item1217,0.1691,0.1471,0.1471,201606,0.1838
item1217,0.0221,0,0,201607,0.0466
item1217,0.0588,0.0049,0,201608,0.1078
item1217,0.1348,0,0,201609,0.5686
item1217,0.7206,0.076,0,201610,1
item1217,0.2745,0.1127,0,201611,0.2794
item1217,0.0392,0.027,0.027,201612,0.1642
item1217,0.0221,0,0,201701,0.0221
item1217,0.0735,0.0515,0.0343,201702,0.1127
